state,district,sex,age,id,hhid,psid,female,medwork,rural,hhweight,stateName
29,18,2,60,Q3V179585230101,795852301,79585230101,1,0,0,0.44046104,Karnataka
21,19,1,40,Q4V174110110201,741101102,74110110201,0,1,0,0.34737134,Odisha
10,29,2,15,Q2V174259130204,742591302,74259130204,1,0,0,0.31218848,Bihar
9,14,2,22,Q4V152837230102,528372301,52837230102,1,0,1,2.4740932,Uttar Pradesh
9,42,2,61,Q2V157963120202,579631202,57963120202,1,0,1,0.98185086,Uttar Pradesh
9,48,1,42,Q1V157035110201,570351102,57035110201,0,1,1,1.5184382,Uttar Pradesh
33,1,2,17,Q1V151359210103,513592101,51359210103,1,0,1,2.5123229,Tamil Nadu
29,18,1,42,Q4V175483140101,754831401,75483140101,0,1,0,3.4532154,Karnataka
9,28,1,26,Q4V152824120201,528241202,52824120201,0,1,1,0.38254219,Uttar Pradesh
9,53,2,22,Q4V151384110108,513841101,51384110108,1,0,1,0.079123251,Uttar Pradesh
9,71,1,20,Q3V159898110104,598981101,59898110104,0,0,1,1.8438373,Uttar Pradesh
10,16,1,20,Q3V172425110105,724251101,72425110105,0,0,0,0.60535634,Bihar
14,1,2,30,Q3V156467120204,564671202,56467120204,1,0,1,0.067932382,Manipur
32,7,2,41,Q4V179192130202,791921302,79192130202,1,1,0,0.63218433,Kerala
17,6,2,28,Q2V150548120204,505481202,50548120204,1,0,1,0.099347256,Meghalaya
32,5,2,45,Q2V156834130101,568341301,56834130101,1,1,1,0.41044334,Kerala
20,22,1,35,Q1V154345120201,543451202,54345120201,0,1,1,0.57333094,Jharkhand
15,6,1,23,Q1V174258120203,742581202,74258120203,0,0,0,0.030866327,Mizoram
18,22,1,15,Q4V152109220203,521092202,52109220203,0,0,1,1.381541,Assam
31,1,2,41,Q2V174367140202,743671402,74367140202,1,0,0,0.055809025,Lakshadweep
12,1,1,20,Q3V151488120203,514881202,51488120203,0,0,1,0.033480413,Arunachal Pradesh
9,51,1,14,Q1V155295210105,552952101,55295210105,0,0,1,3.0786085,Uttar Pradesh
5,11,1,27,Q3V179188110207,791881102,79188110207,0,1,0,0.09064649,Uttrakhand
5,13,2,16,Q2V151493230105,514932301,51493230105,1,0,1,2.5588806,Uttrakhand
9,45,1,45,Q3V170478120101,704781201,70478120101,0,1,0,1.8089055,Uttar Pradesh
22,12,1,60,Q2V153100120201,531001202,53100120201,0,1,1,0.69808447,Chhattisgarh
19,7,1,21,Q2V156119110103,561191101,56119110103,0,0,1,0.26270577,West Bengal
33,17,1,30,Q1V153049120103,530491201,53049120103,0,0,1,0.50559855,Tamil Nadu
12,15,1,23,Q1V156373110103,563731101,56373110103,0,0,1,0.14042458,Arunachal Pradesh
5,5,1,40,Q1V175330140203,753301402,75330140203,0,1,0,0.048503857,Uttrakhand
32,2,1,24,Q1V171934110203,719341102,71934110203,0,0,0,0.2985523,Kerala
32,1,1,41,Q3V170262120201,702621202,70262120201,0,1,0,0.3194702,Kerala
23,4,2,35,Q3V175557240102,755572401,75557240102,1,0,0,2.445327,Madhya Pradesh
6,11,1,46,Q1V154576220101,545762201,54576220101,0,1,1,0.69777143,Haryana
24,4,1,60,Q4V154614220101,546142201,54614220101,0,1,1,1.9725587,Gujarat
28,11,2,30,Q4V158739120102,587391201,58739120102,1,1,1,0.3325552,Andhra Pradesh
3,1,2,36,Q1V153060130102,530601301,53060130102,1,0,1,0.18641591,Punjab
28,7,1,23,Q4V150171110103,501711101,50171110103,0,1,1,0.028129296,Andhra Pradesh
23,10,1,65,Q2V157507110101,575071101,57507110101,0,1,1,0.1237388,Madhya Pradesh
2,2,1,51,Q1V152227120101,522271201,52227120101,0,1,1,0.048232444,Himachal Pradesh
1,1,1,64,Q3V156792220201,567922202,56792220201,0,0,1,0.28347519,Jammu & Kashmir
19,10,2,39,Q1V170754130102,707541301,70754130102,1,0,0,1.7314221,West Bengal
33,26,1,33,Q2V175724140203,757241402,75724140203,0,0,0,0.82888156,Tamil Nadu
