"","psid","state","stateName","district","distcode","age","sex","female","rural","medwork","hhsize","comb_wt","mpce","logRsincpc"
"11764",72603110105,"01","Jammu & Kashmir","21","0121",30,1,"Male","Urban",1,7,2287.81005859375,1428.57141113281,7.26443004608154
"11780",56531120205,"06","Haryana","06","0606",16,2,"Female","Rural",0,5,2442.52001953125,2000,7.60090255737305
"11786",51364120107,"09","Uttar Pradesh","58","0958",20,1,"Male","Rural",1,8,2318.94506835938,625,6.43775177001953
"11789",72789130202,"01","Jammu & Kashmir","03","0103",18,1,"Male","Urban",0,3,332.5,1550.66662597656,7.34644031524658
"11790",73150120202,"08","Rajasthan","11","0811",17,1,"Male","Urban",0,2,7791.35986328125,2250,7.71868562698364
"11792",52595110104,"09","Uttar Pradesh","60","0960",20,2,"Female","Rural",0,4,20059.224609375,1250,7.13089895248413
"11794",54628230101,"03","Punjab","11","0311",26,1,"Male","Rural",1,2,23695.73046875,1750,7.46737098693848
"11796",55601210103,"03","Punjab","10","0310",16,1,"Male","Rural",0,4,25166.970703125,3175,8.06306266784668
"11798",57818220202,"09","Uttar Pradesh","13","0913",28,2,"Female","Rural",0,5,12813.35546875,1600,7.37775897979736
"11802",73917120204,"32","Kerala","02","3202",25,1,"Male","Urban",1,4,6540.830078125,2500,7.82404613494873
"11803",54489130204,"23","Madhya Pradesh","02","2302",20,1,"Male","Rural",1,8,26188.919921875,750,6.62007331848145
"11804",73835140105,"27","Maharashtra","20","2720",20,2,"Female","Urban",0,5,2840.56494140625,3000,8.00636768341064
"11809",70363130203,"09","Uttar Pradesh","26","0926",20,1,"Male","Urban",0,4,9958.7646484375,2500,7.82404613494873
"11810",55564130102,"19","West Bengal","06","1906",30,2,"Female","Rural",1,4,5214.89013671875,1750,7.46737098693848
"11820",55673120103,"32","Kerala","06","3206",30,2,"Female","Rural",1,4,2384.9599609375,2000,7.60090255737305
"11821",70955110103,"26","D & N Haveli","01","2601",27,1,"Male","Urban",1,3,180.904998779297,2833.33325195312,7.94920921325684
"11825",58514120201,"06","Haryana","21","0621",30,1,"Male","Rural",1,5,1449.32995605469,1000,6.90775537490845
"11826",57587230104,"03","Punjab","01","0301",21,1,"Male","Rural",1,4,15540.1845703125,2500,7.82404613494873
"11827",75752130108,"28","Andhra Pradesh","11","2811",22,1,"Male","Urban",1,9,5412.625,1833.33337402344,7.51389122009277
"11834",55075130101,"24","Gujarat","18","2418",28,1,"Male","Rural",1,4,13920.35546875,1125,7.02553844451904
"11836",79595110102,"10","Bihar","09","1009",20,2,"Female","Urban",0,8,523.52001953125,1250,7.13089895248413
"11839",50934210103,"27","Maharashtra","19","2719",17,1,"Male","Rural",0,3,37487.53125,3000,8.00636768341064
"11840",51949110105,"14","Manipur","01","1401",26,1,"Male","Rural",0,5,212.164993286133,3000,8.00636768341064
"11846",55255210103,"18","Assam","27","1827",19,1,"Male","Rural",0,5,6926.18505859375,1346,7.20489263534546
"11850",50309210104,"19","West Bengal","08","1908",22,2,"Female","Rural",0,6,19663.970703125,3000,8.00636768341064
"11855",54261120102,"09","Uttar Pradesh","42","0942",23,2,"Female","Rural",0,2,10911.7099609375,2000,7.60090255737305
"11858",55120110103,"09","Uttar Pradesh","64","0964",25,2,"Female","Rural",0,3,18936.234375,2250,7.71868562698364
"11859",57589210102,"36","Telangana","10","3610",24,2,"Female","Rural",0,3,41128.78125,1666.66662597656,7.41858100891113
"11863",71433140202,"14","Manipur","05","1405",29,2,"Female","Urban",1,3,685.010009765625,1666.66662597656,7.41858100891113
"11864",51711110103,"18","Assam","17","1817",18,1,"Male","Rural",0,3,521.590026855469,1933.33337402344,7.56700086593628
"11865",57867210103,"08","Rajasthan","02","0802",19,1,"Male","Rural",1,4,26242.0546875,1750,7.46737098693848
"11872",71400120202,"28","Andhra Pradesh","06","2806",26,2,"Female","Urban",1,3,10795.884765625,5333.33349609375,8.58173179626465
"11874",74137130201,"21","Odisha","12","2112",16,2,"Female","Urban",0,1,9181.5302734375,4000,8.29404926300049
"11877",54271110103,"18","Assam","07","1807",20,2,"Female","Rural",0,4,2700.76000976562,5392.5,8.59276485443115
"11879",73575240103,"23","Madhya Pradesh","27","2327",21,1,"Male","Urban",1,3,11556.4453125,2000,7.60090255737305
"11888",55196230103,"10","Bihar","34","1034",25,1,"Male","Rural",0,11,59409.7734375,545.454528808594,6.30161952972412
"11890",79819110204,"33","Tamil Nadu","07","3307",24,2,"Female","Urban",0,5,3218.53002929688,2400,7.78322410583496
"11891",70727110204,"09","Uttar Pradesh","10","0910",17,2,"Female","Urban",0,5,6103.22021484375,2800,7.93737459182739
"11898",77971140206,"08","Rajasthan","30","0830",28,2,"Female","Urban",0,8,10974.4404296875,1500,7.31322050094604
"11899",71496110104,"24","Gujarat","25","2425",19,2,"Female","Urban",0,4,17790.705078125,5000,8.51719284057617
"11900",53120110103,"09","Uttar Pradesh","19","0919",30,1,"Male","Rural",1,11,4271.55517578125,636.363647460938,6.45577001571655
"11902",56423110107,"09","Uttar Pradesh","57","0957",20,1,"Male","Rural",0,7,26326.83984375,1214.28576660156,7.1019115447998
"11905",70724110203,"24","Gujarat","07","2407",16,1,"Male","Urban",0,5,12053.28515625,4000,8.29404926300049
"11906",70205110104,"14","Manipur","06","1406",18,2,"Female","Urban",0,4,372.209991455078,1250,7.13089895248413
"11909",50787210103,"28","Andhra Pradesh","13","2813",30,1,"Male","Rural",1,8,8897.955078125,1500,7.31322050094604
"11912",52015120103,"22","Chhattisgarh","26","2226",16,1,"Male","Rural",0,4,7957.44482421875,2250,7.71868562698364
"11913",75401120202,"23","Madhya Pradesh","22","2322",26,2,"Female","Urban",1,3,2158.875,5000,8.51719284057617
"11916",50202210102,"14","Manipur","07","1407",19,2,"Female","Rural",0,5,3071.69506835938,2600,7.86326694488525
"11920",55138120103,"32","Kerala","10","3210",20,2,"Female","Rural",0,4,2193.27490234375,4000,8.29404926300049
"11923",75830110205,"27","Maharashtra","22","2722",24,1,"Male","Urban",1,5,2814.56494140625,3000,8.00636768341064
"11928",55649110103,"34","Puducherry","02","3402",30,1,"Male","Rural",1,4,945.590026855469,4500,8.41183280944824
"11929",58356110103,"24","Gujarat","08","2408",17,1,"Male","Rural",0,6,3350.42504882812,1300,7.17011976242065
"11933",54032210104,"03","Punjab","20","0320",30,2,"Female","Rural",0,4,22423.80078125,3750,8.22951126098633
"11937",57883110103,"29","Karnataka","18","2918",29,1,"Male","Rural",1,4,9232.5595703125,3750,8.22951126098633
