"","psid","state","stateName","district","distcode","age","sex","female","rural","medwork","hhsize","comb_wt","mpce","logRsincpc"
"1",59957110109,"08","Rajasthan","06","0806",28,2,"Female","Rural",0,12,8287.41015625,2575,7.85360479354858
"6",53965120203,"33","Tamil Nadu","19","3319",18,1,"Male","Rural",0,3,7281.85986328125,2070,7.63530397415161
"7",57107230102,"14","Manipur","04","1404",20,1,"Male","Rural",1,4,1083.6650390625,2750,7.91935634613037
"11",57554120204,"06","Haryana","02","0602",24,2,"Female","Rural",0,4,4285.93017578125,1750,7.46737098693848
"15",73803110204,"08","Rajasthan","12","0812",28,2,"Female","Urban",0,6,7376.97998046875,1825,7.50933504104614
"19",79492140102,"07","Delhi","01","0701",23,2,"Female","Urban",0,3,14796.5048828125,2666.66674804688,7.88858461380005
"21",75644110103,"08","Rajasthan","30","0830",23,1,"Male","Urban",0,4,1385.42504882812,5000,8.51719284057617
"30",71180130203,"19","West Bengal","09","1909",17,1,"Male","Urban",0,4,5978.615234375,2000,7.60090255737305
"31",54019110103,"28","Andhra Pradesh","01","2801",24,1,"Male","Rural",0,4,5280.64990234375,2375,7.77275276184082
"44",54014220204,"10","Bihar","28","1028",30,2,"Female","Rural",0,7,21152.0546875,714.285705566406,6.57128286361694
"45",52603120103,"08","Rajasthan","26","0826",20,2,"Female","Rural",0,4,2749.09008789062,2250,7.71868562698364
"49",73420140102,"15","Mizoram","03","1503",27,2,"Female","Urban",1,6,513.590026855469,1333.33337402344,7.19543743133545
"50",77285110105,"22","Chhattisgarh","06","2206",18,2,"Female","Urban",0,5,6217.06494140625,3200,8.0709056854248
"52",57452110103,"09","Uttar Pradesh","63","0963",18,2,"Female","Rural",0,5,2378.47509765625,1200,7.09007692337036
"55",74571130202,"23","Madhya Pradesh","27","2327",30,2,"Female","Urban",0,4,13371.2802734375,5000,8.51719284057617
"56",70785140101,"27","Maharashtra","27","2727",30,1,"Male","Urban",1,6,15327.7548828125,1000,6.90775537490845
"58",70080130202,"15","Mizoram","03","1503",30,2,"Female","Urban",0,5,318,3600,8.18868923187256
"59",51274130103,"27","Maharashtra","20","2720",22,2,"Female","Rural",0,6,29278.4140625,1166.66662597656,7.06190586090088
"60",72200140204,"03","Punjab","12","0312",18,1,"Male","Urban",1,5,7797.7900390625,1700,7.43838357925415
"64",55261120202,"02","Himachal Pradesh","05","0205",27,2,"Female","Rural",1,4,2271.419921875,1125,7.02553844451904
"67",53546220101,"09","Uttar Pradesh","52","0952",26,1,"Male","Rural",1,3,4912.669921875,1333.33337402344,7.19543743133545
"69",52692120103,"19","West Bengal","18","1918",20,1,"Male","Rural",0,4,4390.60986328125,1625,7.39326286315918
"70",73852140104,"10","Bihar","24","1024",18,2,"Female","Urban",0,4,2397.11010742188,1250,7.13089895248413
"71",56958120104,"27","Maharashtra","10","2710",25,2,"Female","Rural",0,6,10206.66015625,2000,7.60090255737305
"73",77473140201,"36","Telangana","05","3605",30,1,"Male","Urban",1,2,2115.7451171875,4000,8.29404926300049
"79",74427140103,"14","Manipur","09","1409",30,2,"Female","Urban",0,6,444.195007324219,833.333312988281,6.72543382644653
"80",75223110203,"09","Uttar Pradesh","33","0933",25,1,"Male","Urban",1,4,17417.73046875,6250,8.74033641815186
"88",57878110103,"13","Nagaland","02","1302",30,1,"Male","Rural",1,4,425.760009765625,1000,6.90775537490845
"93",77217110103,"32","Kerala","14","3214",28,1,"Male","Urban",0,4,3971.23999023438,5000,8.51719284057617
"94",72145230101,"03","Punjab","03","0303",27,1,"Male","Urban",1,4,5330.30517578125,2000,7.60090255737305
"100",55577110103,"07","Delhi","01","0701",17,1,"Male","Rural",1,3,642.359985351562,4333.33349609375,8.37409210205078
"106",51460120202,"14","Manipur","07","1407",27,2,"Female","Rural",0,4,361.359985351562,1750,7.46737098693848
"107",73358130204,"18","Assam","06","1806",17,1,"Male","Urban",0,4,1035.23498535156,1500,7.31322050094604
"108",74090110204,"15","Mizoram","01","1501",18,2,"Female","Urban",0,5,217.929992675781,4000,8.29404926300049
"114",77847110204,"33","Tamil Nadu","28","3328",17,1,"Male","Urban",0,5,13567.7451171875,2000,7.60090255737305
"120",50897110103,"06","Haryana","12","0612",22,1,"Male","Rural",0,5,3730.81005859375,1600,7.37775897979736
"121",55016220103,"32","Kerala","05","3205",19,1,"Male","Rural",1,3,3171.0048828125,2000,7.60090255737305
"123",56126110103,"02","Himachal Pradesh","11","0211",25,1,"Male","Rural",1,4,5445.39013671875,1375,7.22620916366577
"129",74328140202,"28","Andhra Pradesh","12","2812",30,2,"Female","Urban",0,5,16526.560546875,1700,7.43838357925415
"143",74937120204,"15","Mizoram","08","1508",24,1,"Male","Urban",0,4,341.184997558594,3750,8.22951126098633
"155",57825210102,"09","Uttar Pradesh","22","0922",24,2,"Female","Rural",0,2,20747.419921875,2000,7.60090255737305
"159",74151110103,"23","Madhya Pradesh","32","2332",28,1,"Male","Urban",1,5,2066.25,2400,7.78322410583496
"161",71421120203,"13","Nagaland","05","1305",26,2,"Female","Urban",1,4,919.369995117188,3750,8.22951126098633
"164",51438120105,"08","Rajasthan","15","0815",19,1,"Male","Rural",1,9,6949.47998046875,1111.11108398438,7.01311588287354
"168",50805120202,"35","A & N Island","02","3502",26,2,"Female","Rural",0,4,93.1600036621094,2500,7.82404613494873
"171",50503110105,"10","Bihar","19","1019",19,1,"Male","Rural",0,6,857.580017089844,1083.33337402344,6.98779821395874
"173",59227120205,"03","Punjab","17","0317",22,1,"Male","Rural",1,6,6747.35986328125,2000,7.60090255737305
"174",79213130101,"07","Delhi","01","0701",30,1,"Male","Urban",1,4,7954.60009765625,2500,7.82404613494873
"177",50339210104,"33","Tamil Nadu","01","3301",21,2,"Female","Rural",0,4,15930.0498046875,2500,7.82404613494873
"179",72107110206,"09","Uttar Pradesh","16","0916",20,2,"Female","Urban",1,7,4984.98486328125,1114.28576660156,7.01596879959106
"182",77656110403,"06","Haryana","20","0620",20,2,"Female","Urban",0,6,4879.52490234375,3333.33325195312,8.11172771453857
"183",74730130202,"36","Telangana","10","3610",21,2,"Female","Urban",0,3,6180.14013671875,3000,8.00636768341064
"185",54753220103,"19","West Bengal","09","1909",19,1,"Male","Rural",0,3,13361.9599609375,1500,7.31322050094604
"192",56496120202,"05","Uttrakhand","11","0511",20,1,"Male","Rural",1,4,846.640014648438,1000,6.90775537490845
"197",53093220102,"10","Bihar","08","1008",26,2,"Female","Rural",0,5,11192.919921875,1000,6.90775537490845
"198",56420220104,"27","Maharashtra","20","2720",21,2,"Female","Rural",0,4,9697.0654296875,1500,7.31322050094604
"199",70421130203,"05","Uttrakhand","05","0505",23,1,"Male","Urban",0,7,761.510009765625,1714.28576660156,7.44675159454346
"211",51177210108,"09","Uttar Pradesh","07","0907",17,2,"Female","Rural",0,9,38450.5234375,2222.22216796875,7.70626306533813
"222",59130220203,"23","Madhya Pradesh","01","2301",21,1,"Male","Rural",0,3,14048.4345703125,1166.66662597656,7.06190586090088
"223",72131130202,"32","Kerala","06","3206",16,2,"Female","Urban",0,3,2026.53002929688,5000,8.51719284057617
"224",51041110104,"16","Tripura","02","1602",22,2,"Female","Rural",0,5,194.785003662109,1000,6.90775537490845
"230",51152210103,"13","Nagaland","02","1302",20,1,"Male","Rural",0,4,1170.02502441406,1250,7.13089895248413
"232",55015120104,"33","Tamil Nadu","21","3321",23,2,"Female","Rural",0,5,1671.16003417969,2040,7.62070512771606
"234",75026130201,"09","Uttar Pradesh","07","0907",25,1,"Male","Urban",1,1,774.609985351562,6000,8.69951438903809
"244",79404110103,"10","Bihar","14","1014",17,1,"Male","Urban",0,3,2872.94995117188,2666.66674804688,7.88858461380005
"247",56633110102,"05","Uttrakhand","12","0512",18,1,"Male","Rural",0,3,10942.7998046875,2333.33325195312,7.75505304336548
"249",54795110103,"09","Uttar Pradesh","24","0924",25,1,"Male","Rural",0,9,2529.7900390625,444.444458007812,6.09682512283325
"250",74036110204,"09","Uttar Pradesh","09","0909",16,1,"Male","Urban",0,4,712.275024414062,8750,9.07680892944336
"251",50546220204,"28","Andhra Pradesh","04","2804",17,2,"Female","Rural",0,4,11399.3701171875,5000,8.51719284057617
"252",75053140203,"20","Jharkhand","12","2012",30,2,"Female","Urban",0,4,1872.09497070312,1500,7.31322050094604
"253",50518120203,"29","Karnataka","20","2920",17,1,"Male","Rural",0,4,12129.2998046875,1875,7.53636407852173
"254",71063110103,"14","Manipur","09","1409",25,1,"Male","Urban",0,6,414.329986572266,916.666687011719,6.82074403762817
"255",70738120104,"24","Gujarat","07","2407",25,2,"Female","Urban",0,5,6262.22998046875,2000,7.60090255737305
"256",56953110104,"21","Odisha","19","2119",16,1,"Male","Rural",0,5,3627.55493164062,600,6.39692974090576
"259",50287130104,"19","West Bengal","14","1914",30,2,"Female","Rural",0,5,30851.130859375,500,6.21460819244385
"262",72641110203,"34","Puducherry","02","3402",17,1,"Male","Urban",0,6,2576.0400390625,3333.33325195312,8.11172771453857
"267",74335110105,"17","Meghalaya","05","1705",21,2,"Female","Urban",0,5,542.169982910156,2000,7.60090255737305
"275",72142110212,"10","Bihar","14","1014",30,2,"Female","Urban",0,14,4529.7001953125,2857.14282226562,7.95757722854614
"281",73339120203,"01","Jammu & Kashmir","01","0101",27,1,"Male","Urban",1,5,345.5,1316.59997558594,7.18280792236328
"285",57113120203,"16","Tripura","04","1604",29,2,"Female","Rural",0,5,1038.92504882812,1400,7.24422740936279
"291",73532130102,"22","Chhattisgarh","10","2210",24,2,"Female","Urban",0,4,4598.14990234375,1250,7.13089895248413
"293",57614110103,"12","Arunachal Pradesh","04","1204",18,1,"Male","Rural",0,4,420.125,3650,8.20248222351074
"294",73717210103,"33","Tamil Nadu","31","3331",23,1,"Male","Urban",1,7,17126.890625,2549.28564453125,7.84356832504272
"296",73093120202,"27","Maharashtra","21","2721",29,2,"Female","Urban",1,4,9943.240234375,5500,8.61250305175781
"299",77902130102,"10","Bihar","21","1021",30,2,"Female","Urban",0,6,1330.57495117188,666.666687011719,6.50229024887085
"300",79405110204,"10","Bihar","26","1026",24,2,"Female","Urban",0,5,6187.5849609375,1100,7.00306558609009
"307",73851130202,"09","Uttar Pradesh","15","0915",30,1,"Male","Urban",1,2,4060.9599609375,2500,7.82404613494873
"308",72598110105,"27","Maharashtra","21","2721",16,2,"Female","Urban",0,6,7267.76513671875,3000,8.00636768341064
"314",56191120104,"27","Maharashtra","02","2702",22,2,"Female","Rural",0,11,264.204986572266,772.727294921875,6.64992618560791
"318",56668220203,"21","Odisha","04","2104",20,2,"Female","Rural",0,4,8372.240234375,3750,8.22951126098633
"321",72674110105,"24","Gujarat","25","2425",26,1,"Male","Urban",1,5,423.989990234375,4000,8.29404926300049
"326",56980130104,"27","Maharashtra","03","2703",30,2,"Female","Rural",0,7,15820.6904296875,1142.85717773438,7.04128646850586
"329",55853220106,"01","Jammu & Kashmir","07","0107",24,2,"Female","Rural",0,7,1139.29504394531,1714.28576660156,7.44675159454346
"333",57507120104,"23","Madhya Pradesh","10","2310",16,1,"Male","Rural",0,4,3364.9951171875,1125,7.02553844451904
"335",77512140202,"06","Haryana","18","0618",28,2,"Female","Urban",0,3,735.35498046875,1666.66662597656,7.41858100891113
"338",57026120304,"23","Madhya Pradesh","23","2323",25,2,"Female","Rural",1,6,6134.3798828125,1000,6.90775537490845
"339",50238110104,"19","West Bengal","09","1909",22,2,"Female","Rural",0,4,2447.75,3000,8.00636768341064
"341",52697130103,"20","Jharkhand","13","2013",29,1,"Male","Rural",0,3,28138.509765625,1333.33337402344,7.19543743133545
"345",57672120205,"08","Rajasthan","12","0812",30,1,"Male","Rural",1,7,7566.31005859375,571.428588867188,6.34813928604126
"346",75061110102,"35","A & N Island","03","3503",22,1,"Male","Urban",1,3,614.700012207031,5000,8.51719284057617
"348",55017110106,"24","Gujarat","10","2410",20,2,"Female","Rural",1,7,3275.84497070312,1214.28576660156,7.1019115447998
"354",51631230101,"28","Andhra Pradesh","01","2801",25,2,"Female","Rural",0,3,40015.1796875,1666.66662597656,7.41858100891113
"355",53902110103,"23","Madhya Pradesh","35","2335",30,1,"Male","Rural",0,4,2421.1201171875,1750,7.46737098693848
"356",75980120203,"23","Madhya Pradesh","10","2310",17,1,"Male","Urban",0,4,3362.61010742188,1125,7.02553844451904
"359",70341110203,"10","Bihar","20","1020",24,1,"Male","Urban",0,7,4851.81494140625,571.428588867188,6.34813928604126
"362",59825120105,"17","Meghalaya","05","1705",21,2,"Female","Rural",1,5,579.195007324219,1800,7.49554204940796
"363",58336130103,"09","Uttar Pradesh","51","0951",29,1,"Male","Rural",1,10,39043.8203125,1500,7.31322050094604
"364",53527120204,"10","Bihar","35","1035",16,2,"Female","Rural",0,5,2322.419921875,1600,7.37775897979736
"369",70840120102,"28","Andhra Pradesh","06","2806",30,2,"Female","Urban",0,4,15947.9052734375,4375,8.38366222381592
"375",75685120103,"07","Delhi","01","0701",20,2,"Female","Urban",0,4,12737.2197265625,2250,7.71868562698364
"376",71010140203,"28","Andhra Pradesh","12","2812",25,2,"Female","Urban",0,5,7528.64501953125,1700,7.43838357925415
"381",74593130106,"29","Karnataka","08","2908",26,1,"Male","Urban",1,6,2777.71997070312,1666.66662597656,7.41858100891113
"382",59611120103,"02","Himachal Pradesh","02","0202",22,1,"Male","Rural",0,3,2550.84497070312,7166.66650390625,8.87719631195068
"383",70005120101,"19","West Bengal","15","1915",30,1,"Male","Urban",1,3,2823.625,2333.33325195312,7.75505304336548
"392",77286110103,"24","Gujarat","14","2414",18,1,"Male","Urban",0,4,15295.9501953125,3425,8.13885688781738
"393",56672130106,"09","Uttar Pradesh","13","0913",30,2,"Female","Rural",0,10,5309.72509765625,1450,7.27931880950928
"397",70377140102,"33","Tamil Nadu","09","3309",27,2,"Female","Urban",0,4,1542.70495605469,4375,8.38366222381592
"399",72495130106,"09","Uttar Pradesh","24","0924",18,1,"Male","Urban",0,10,7129.10986328125,600,6.39692974090576
"410",79375110104,"08","Rajasthan","24","0824",24,2,"Female","Urban",0,5,9109.9599609375,2000,7.60090255737305
"420",73942120102,"27","Maharashtra","01","2701",23,2,"Female","Urban",0,2,6096.83984375,5000,8.51719284057617
"422",52718210107,"09","Uttar Pradesh","70","0970",20,2,"Female","Rural",0,8,61708.4140625,2250,7.71868562698364
"426",72618120202,"02","Himachal Pradesh","09","0209",28,2,"Female","Urban",0,3,2794.5048828125,3333.33325195312,8.11172771453857
"427",72457120202,"01","Jammu & Kashmir","01","0101",21,2,"Female","Urban",0,4,678.010009765625,2000,7.60090255737305
"429",71591110107,"08","Rajasthan","02","0802",25,2,"Female","Urban",0,8,515.205017089844,1875,7.53636407852173
"431",77461120202,"29","Karnataka","18","2918",28,2,"Female","Urban",1,2,3475.4951171875,9900,9.20028972625732
"433",77930110106,"33","Tamil Nadu","31","3331",22,1,"Male","Urban",0,7,18613.109375,4166.85693359375,8.33491706848145
"439",73307120202,"07","Delhi","01","0701",27,1,"Male","Urban",1,2,9784.580078125,10000,9.21034049987793
"445",72857130102,"33","Tamil Nadu","20","3320",22,1,"Male","Urban",1,2,8268.4599609375,1500,7.31322050094604
"447",70792110107,"05","Uttrakhand","12","0512",27,1,"Male","Urban",1,10,1879.61499023438,1000,6.90775537490845
"450",79474130102,"12","Arunachal Pradesh","04","1204",30,2,"Female","Urban",0,3,264.665008544922,5200,8.5564136505127
"462",77119110106,"33","Tamil Nadu","01","3301",21,2,"Female","Urban",0,6,13698.259765625,6666.66650390625,8.80487537384033
"464",53396120103,"36","Telangana","10","3610",19,1,"Male","Rural",0,3,1353.01501464844,1500,7.31322050094604
"465",70497140202,"01","Jammu & Kashmir","21","0121",28,2,"Female","Urban",0,5,609.755004882812,2000,7.60090255737305
"466",54241110104,"29","Karnataka","15","2915",25,2,"Female","Rural",0,4,6924.18505859375,3125,8.04718971252441
"467",71555130801,"33","Tamil Nadu","01","3301",20,1,"Male","Urban",0,1,2202.7900390625,5000,8.51719284057617
"470",73976110204,"24","Gujarat","25","2425",25,2,"Female","Urban",0,7,16628.359375,7142.85693359375,8.87386798858643
"472",54997110107,"19","West Bengal","19","1919",20,2,"Female","Rural",0,7,9192.615234375,1285.71423339844,7.15906953811646
"474",52648110103,"08","Rajasthan","21","0821",19,1,"Male","Rural",1,3,5259.27001953125,5000,8.51719284057617
"476",72677110103,"17","Meghalaya","06","1706",28,1,"Male","Urban",1,4,597.534973144531,5000,8.51719284057617
"479",79151110204,"19","West Bengal","12","1912",20,2,"Female","Urban",0,4,7569.7548828125,3000,8.00636768341064
"481",72618130201,"02","Himachal Pradesh","09","0209",23,1,"Male","Urban",1,1,1880.92004394531,6000,8.69951438903809
"484",54495210104,"28","Andhra Pradesh","03","2803",16,2,"Female","Rural",1,5,10007.96484375,600,6.39692974090576
"487",79985120202,"23","Madhya Pradesh","27","2327",28,2,"Female","Urban",0,4,22415.515625,2500,7.82404613494873
"488",57130210102,"23","Madhya Pradesh","40","2340",30,1,"Male","Rural",1,4,43369.859375,1200,7.09007692337036
"495",50358210105,"19","West Bengal","04","1904",19,1,"Male","Rural",0,5,7366.080078125,1200,7.09007692337036
"498",51985210103,"11","Sikkim","04","1104",23,1,"Male","Rural",0,3,2423.57006835938,4000,8.29404926300049
"500",55191210120,"28","Andhra Pradesh","11","2811",23,1,"Male","Rural",1,21,10738.3095703125,1666.66662597656,7.41858100891113
"501",70855130205,"15","Mizoram","03","1503",21,2,"Female","Urban",0,5,339.5,3000,8.00636768341064
"503",55013120405,"17","Meghalaya","05","1705",23,1,"Male","Rural",1,7,322.070007324219,500,6.21460819244385
"512",72727120104,"33","Tamil Nadu","24","3324",25,2,"Female","Urban",0,4,4267.33984375,2462.5,7.80893230438232
"516",55852110104,"19","West Bengal","13","1913",16,1,"Male","Rural",0,4,12866.6748046875,1750,7.46737098693848
"519",71175130202,"33","Tamil Nadu","31","3331",19,2,"Female","Urban",0,3,13223.1953125,3295.66674804688,8.10036373138428
"520",75245140102,"22","Chhattisgarh","04","2204",30,2,"Female","Urban",1,4,2172.955078125,750,6.62007331848145
"521",73090120104,"03","Punjab","15","0315",20,2,"Female","Urban",0,6,5585.06005859375,2500,7.82404613494873
"523",75477110204,"09","Uttar Pradesh","30","0930",16,1,"Male","Urban",0,5,15747.0400390625,1720,7.45007944107056
"525",70850120203,"27","Maharashtra","06","2706",16,1,"Male","Urban",0,4,11009.474609375,2875,7.96380805969238
"527",72261110202,"36","Telangana","01","3601",30,1,"Male","Urban",1,4,2975.94995117188,2500,7.82404613494873
"530",75423110205,"23","Madhya Pradesh","12","2312",20,1,"Male","Urban",0,6,1202.60498046875,2500,7.82404613494873
"533",75489130105,"23","Madhya Pradesh","40","2340",18,2,"Female","Urban",0,6,10028.4501953125,1166.66662597656,7.06190586090088
"534",57106120404,"18","Assam","13","1813",18,1,"Male","Rural",0,4,1162.70495605469,1375,7.22620916366577
"542",73118130102,"21","Odisha","03","2103",27,2,"Female","Urban",0,7,8696.5048828125,1714.28576660156,7.44675159454346
"547",52672110206,"09","Uttar Pradesh","59","0959",17,1,"Male","Rural",0,8,33416.41015625,1125,7.02553844451904
"552",73941120103,"01","Jammu & Kashmir","10","0110",25,1,"Male","Urban",1,4,621.875,1845,7.52023458480835
"553",70881110207,"09","Uttar Pradesh","45","0945",24,1,"Male","Urban",1,11,4308.55517578125,1363.63635253906,7.2179102897644
"554",54585110105,"09","Uttar Pradesh","22","0922",22,2,"Female","Rural",0,6,28327.73046875,1333.33337402344,7.19543743133545
"559",73381210101,"33","Tamil Nadu","22","3322",27,1,"Male","Urban",1,5,1415.94494628906,2688.19995117188,7.8966269493103
"565",53102220101,"20","Jharkhand","23","2023",28,1,"Male","Rural",1,3,3811.57006835938,1333.33337402344,7.19543743133545
"571",56114220204,"10","Bihar","09","1009",25,2,"Female","Rural",0,9,14803.8896484375,1166.66662597656,7.06190586090088
"572",71180120206,"19","West Bengal","09","1909",26,2,"Female","Urban",0,8,3985.7451171875,1875,7.53636407852173
"577",74383110104,"19","West Bengal","11","1911",22,2,"Female","Urban",0,6,3226.7548828125,1333.33337402344,7.19543743133545
"583",56001220106,"24","Gujarat","02","2402",30,1,"Male","Rural",1,9,18225.990234375,1111.11108398438,7.01311588287354
"586",50591210104,"27","Maharashtra","34","2734",17,1,"Male","Rural",1,4,42285.640625,2000,7.60090255737305
"594",55651120304,"08","Rajasthan","32","0832",20,2,"Female","Rural",0,4,1398.55004882812,1750,7.46737098693848
"602",50734120205,"06","Haryana","04","0604",23,2,"Female","Rural",0,7,1500.69494628906,1428.57141113281,7.26443004608154
"608",72053130110,"23","Madhya Pradesh","04","2304",23,1,"Male","Urban",1,12,5352.865234375,2500,7.82404613494873
"609",54426130108,"13","Nagaland","10","1310",16,2,"Female","Rural",0,11,1369.66003417969,454.545440673828,6.11929798126221
"610",56279110205,"02","Himachal Pradesh","09","0209",26,1,"Male","Rural",1,5,4767.27001953125,1400,7.24422740936279
"615",71400110205,"28","Andhra Pradesh","06","2806",24,1,"Male","Urban",1,6,7129.35986328125,4250,8.35467433929443
"616",59735110203,"19","West Bengal","18","1918",22,1,"Male","Rural",1,4,17934.19921875,1375,7.22620916366577
"617",74040130203,"03","Punjab","03","0303",18,1,"Male","Urban",1,5,986.155029296875,2600,7.86326694488525
"618",59827210104,"27","Maharashtra","20","2720",20,1,"Male","Rural",1,4,20770.564453125,2000,7.60090255737305
"619",71098130204,"24","Gujarat","08","2408",17,2,"Female","Urban",0,5,4221.02978515625,1700,7.43838357925415
"623",59763110104,"22","Chhattisgarh","07","2207",23,1,"Male","Rural",1,5,482.714996337891,1500,7.31322050094604
"624",57052220103,"10","Bihar","01","1001",28,1,"Male","Rural",1,12,16679.5859375,833.333312988281,6.72543382644653
"627",53870230103,"24","Gujarat","21","2421",24,1,"Male","Rural",1,4,30993.595703125,1550,7.34601020812988
"629",75246130202,"08","Rajasthan","12","0812",27,1,"Male","Urban",1,4,4145.47998046875,2000,7.60090255737305
"631",79096110205,"19","West Bengal","16","1916",16,1,"Male","Urban",0,13,9233.6845703125,2153.84619140625,7.67501068115234
"640",58378120304,"23","Madhya Pradesh","09","2309",16,1,"Male","Rural",0,9,4943.75,666.666687011719,6.50229024887085
"641",57988110105,"13","Nagaland","05","1305",26,1,"Male","Rural",0,6,3437.82495117188,3333.33325195312,8.11172771453857
"643",79428130103,"13","Nagaland","05","1305",24,2,"Female","Urban",0,3,817.390014648438,2333.33325195312,7.75505304336548
"645",52785110203,"09","Uttar Pradesh","57","0957",17,1,"Male","Rural",0,5,12896,1200,7.09007692337036
"650",77172110104,"02","Himachal Pradesh","09","0209",17,2,"Female","Urban",0,4,211.910003662109,2900,7.97246599197388
"652",71079110103,"32","Kerala","13","3213",24,2,"Female","Urban",1,4,3613.1298828125,3750,8.22951126098633
"661",71959110203,"27","Maharashtra","21","2721",29,2,"Female","Urban",0,6,4520.47998046875,1333.33337402344,7.19543743133545
"662",54508210106,"22","Chhattisgarh","05","2205",30,1,"Male","Rural",1,10,18579.720703125,450,6.10924768447876
"669",51450210106,"17","Meghalaya","07","1707",24,2,"Female","Rural",0,7,402.160003662109,1714.28576660156,7.44675159454346
"673",58552120405,"17","Meghalaya","03","1703",20,2,"Female","Rural",0,8,1755.10498046875,1375,7.22620916366577
"675",50884120404,"08","Rajasthan","01","0801",25,2,"Female","Rural",0,5,6352.259765625,1400,7.24422740936279
"677",51792120202,"23","Madhya Pradesh","02","2302",18,1,"Male","Rural",0,4,2798.60009765625,875,6.77422380447388
"678",72709110103,"22","Chhattisgarh","05","2205",18,1,"Male","Urban",0,4,1252.10998535156,8750,9.07680892944336
"682",74799110105,"29","Karnataka","18","2918",17,1,"Male","Urban",0,5,3792.21508789062,3600,8.18868923187256
"695",73835120204,"27","Maharashtra","20","2720",20,2,"Female","Urban",0,5,3787.4150390625,3200,8.0709056854248
"696",75472110206,"33","Tamil Nadu","17","3317",25,1,"Male","Urban",1,6,2850.26489257812,3049.33325195312,8.02267837524414
"700",70874110104,"19","West Bengal","10","1910",28,2,"Female","Urban",0,4,1728.71496582031,1745,7.46450996398926
"702",55603110105,"09","Uttar Pradesh","02","0902",27,1,"Male","Rural",1,6,5777.8251953125,4166.66650390625,8.33487129211426
"711",73834140203,"09","Uttar Pradesh","35","0935",20,1,"Male","Urban",1,8,7370.7900390625,500,6.21460819244385
"713",51328220203,"19","West Bengal","02","1902",18,1,"Male","Rural",0,4,16427.9140625,2500,7.82404613494873
"717",53540110205,"23","Madhya Pradesh","49","2349",19,1,"Male","Rural",0,10,2223.46508789062,2000,7.60090255737305
"722",54609110107,"21","Odisha","02","2102",24,2,"Female","Rural",1,7,5433.72509765625,642.857116699219,6.46592235565186
"723",57302110104,"09","Uttar Pradesh","43","0943",20,2,"Female","Rural",0,6,4346.8798828125,2000,7.60090255737305
"732",75987130201,"27","Maharashtra","21","2721",22,1,"Male","Urban",1,3,1269.17504882812,3333.33325195312,8.11172771453857
"734",54157210103,"09","Uttar Pradesh","18","0918",18,1,"Male","Rural",0,6,2572.205078125,1083.33337402344,6.98779821395874
"739",52796120103,"23","Madhya Pradesh","07","2307",30,1,"Male","Rural",1,7,3024.2900390625,1000,6.90775537490845
"742",55828120103,"33","Tamil Nadu","15","3315",17,1,"Male","Rural",0,3,2365.7099609375,2516.66674804688,7.83069038391113
"746",54172230106,"14","Manipur","05","1405",25,1,"Male","Rural",1,8,2822.9150390625,2500,7.82404613494873
"749",59134110205,"21","Odisha","19","2119",18,2,"Female","Rural",0,6,7070.22509765625,583.333312988281,6.36875867843628
"750",53129230103,"09","Uttar Pradesh","14","0914",26,1,"Male","Rural",0,6,30870.955078125,1416.66662597656,7.25606203079224
"752",77592130103,"18","Assam","23","1823",20,1,"Male","Urban",1,4,3349.14990234375,1500,7.31322050094604
"755",54058110104,"09","Uttar Pradesh","07","0907",18,2,"Female","Rural",0,6,25535.859375,2500,7.82404613494873
"756",52681120103,"33","Tamil Nadu","07","3307",30,1,"Male","Rural",1,3,586.085021972656,4176.66650390625,8.3372688293457
"761",79739120203,"21","Odisha","09","2109",22,2,"Female","Urban",1,6,4267.0400390625,1083.33337402344,6.98779821395874
"763",73626130102,"29","Karnataka","18","2918",19,1,"Male","Urban",1,2,1551.68505859375,4000,8.29404926300049
"766",73492110204,"01","Jammu & Kashmir","10","0110",20,2,"Female","Urban",0,5,951.10498046875,4334,8.37424659729004
"767",75736110205,"29","Karnataka","18","2918",28,1,"Male","Urban",1,9,8937.794921875,3500,8.16051864624023
"775",77249130204,"23","Madhya Pradesh","21","2321",18,2,"Female","Urban",0,4,5430.044921875,1875,7.53636407852173
"776",71416110204,"01","Jammu & Kashmir","07","0107",17,1,"Male","Urban",0,5,2037.81494140625,3000,8.00636768341064
"778",51857130103,"10","Bihar","04","1004",24,1,"Male","Rural",1,5,12680.349609375,1500,7.31322050094604
"779",72548110104,"27","Maharashtra","22","2722",21,1,"Male","Urban",0,6,9098.1748046875,4166.66650390625,8.33487129211426
"783",73076110103,"33","Tamil Nadu","27","3327",25,1,"Male","Urban",1,8,4321.375,2812.5,7.94182920455933
"786",58776130102,"18","Assam","10","1810",24,2,"Female","Rural",0,3,24427.1640625,1000,6.90775537490845
"790",50774220103,"16","Tripura","01","1601",27,1,"Male","Rural",1,3,2190.78002929688,2000,7.60090255737305
"791",50140220204,"18","Assam","07","1807",22,2,"Female","Rural",1,5,2417.82006835938,1100,7.00306558609009
"793",56603110203,"27","Maharashtra","15","2715",26,1,"Male","Rural",1,8,8776.4345703125,875,6.77422380447388
"795",59858120303,"02","Himachal Pradesh","03","0203",18,2,"Female","Rural",0,3,1850.18505859375,3166.66674804688,8.06043434143066
"796",72185110103,"27","Maharashtra","22","2722",28,1,"Male","Urban",1,6,7095.5400390625,1666.66662597656,7.41858100891113
