"","medwork","age","sex","hhsize","comb_wt","mpce","logRsincpc","sector"
"medwork",1,0.402369254297795,-0.410885210607821,-0.0214478091944415,0.0327786446872273,-0.00483345104499093,-0.0046740711145232,-0.000132196703670462
"age",0.402369254297795,1,0.023059647794448,-0.0120319034111191,0.0285820733056638,0.0604450941606405,0.0726595827376264,-0.0700549049907895
"sex",-0.410885210607821,0.023059647794448,1,0.0865463913401023,0.00996082873611883,-0.0712842738652983,-0.0632006742877307,0.00420691022413628
"hhsize",-0.0214478091944415,-0.0120319034111191,0.0865463913401023,1,-0.002080810553591,-0.315525190953753,-0.358175657738923,0.0541194501971498
"comb_wt",0.0327786446872273,0.0285820733056638,0.00996082873611883,-0.002080810553591,1,-0.059677124301785,-0.0891536499164451,0.185259392630535
"mpce",-0.00483345104499093,0.0604450941606405,-0.0712842738652983,-0.315525190953753,-0.059677124301785,1,0.891620399556266,-0.359460893205321
"logRsincpc",-0.0046740711145232,0.0726595827376264,-0.0632006742877307,-0.358175657738923,-0.0891536499164451,0.891620399556266,1,-0.397445558089402
"sector",-0.000132196703670462,-0.0700549049907895,0.00420691022413628,0.0541194501971498,0.185259392630535,-0.359460893205321,-0.397445558089402,1
